Model Year,Mfr Name,Carline,Eng Displ,# Cyl,City FE,Hwy FE,Comb FE
2020,Honda,NSX,3.5,6,21,22,21
2020,FCA US LLC,4C,1.8,4,24,34,28
2020,aston martin,Vantage Manual,4,8,14,21,17
2020,aston martin,Vantage V8,4,8,18,24,20
2020,Volkswagen Group of,R8,5.2,10,13,20,16
2020,Volkswagen Group of,R8 Spyder,5.2,10,13,20,16
2020,Volkswagen Group of,TT Roadster quattro,2,4,23,31,26
2020,BMW,Z4 M40i,3,6,24,31,26
2020,BMW,Z4 sDrive30i,2,4,24,32,27
2020,Volkswagen Group of,Chiron,8,16,9,14,11
2020,Volkswagen Group of,Divo,8,16,9,13,10
2020,General Motors,CORVETTE,6.2,8,15,27,19
2020,Ferrari,488 Pista,3.9,8,15,20,17
2020,Ferrari,488 Pista Spider,3.9,8,15,19,17
2020,Ferrari,812 Superfast,6.5,12,12,16,13
2020,Ferrari,F8 Tributo,3.9,8,15,19,16
2020,FCA US LLC,124 Spider,1.4,4,25,36,29
2020,FCA US LLC,124 Spider,1.4,4,26,35,30
2020,Ford Motor Company,FORD GT,3.5,6,12,18,14
2020,Jaguar Land Rover L,F-TYPE AWD Convertible,5,8,16,24,18
2020,Jaguar Land Rover L,F-TYPE AWD Coupe,5,8,16,24,18
2020,Jaguar Land Rover L,F-TYPE Convertible,2,4,23,30,26
2020,Jaguar Land Rover L,F-TYPE Convertible,3,6,20,28,23
2020,Jaguar Land Rover L,F-TYPE Coupe,2,4,23,30,26
2020,Jaguar Land Rover L,F-TYPE Coupe,3,6,20,28,23
2020,Jaguar Land Rover L,F-TYPE S AWD Convertible,3,6,18,26,21
2020,Jaguar Land Rover L,F-TYPE S AWD Coupe,3,6,18,26,21
2020,Jaguar Land Rover L,F-TYPE S Convertible,3,6,19,27,22
2020,Jaguar Land Rover L,F-TYPE S Coupe,3,6,19,27,22
2020,Jaguar Land Rover L,F-TYPE SVR AWD Convertible,5,8,16,24,18
2020,Jaguar Land Rover L,F-TYPE SVR AWD Coupe,5,8,16,24,18
2020,Volkswagen Group of,Aventador Coupe,6.5,12,9,15,11
2020,Volkswagen Group of,Aventador Roadster,6.5,12,9,15,11
2020,Volkswagen Group of,Huracan,5.2,10,13,18,15
2020,Volkswagen Group of,Huracan 2WD,5.2,10,13,18,15
2020,Volkswagen Group of,Huracan Spyder,5.2,10,13,18,15
